run,norm_condition,span_condition,document,caption_count,label,match,refclash,missing,refonly,reftotal,hypclash,spurious,hyponly,hyptotal,precision,recall,fmeasure,norm_match,norm_missing,norm_spurious,norm_precision_micro,norm_recall_micro,norm_fmeasure_micro,norm_precision_macro,norm_recall_macro,norm_fmeasure_macro
system1,any,strict,3499571,24,cellular_component,0,0,28,28,28,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3499571,24,gene_or_protein,0,0,80,80,80,0,0,0,0,1.0,0.0,0.0,0,35,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3499571,24,organism_or_species,0,0,14,14,14,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3499571,24,small_molecule,0,0,32,32,32,0,0,0,0,1.0,0.0,0.0,0,26,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4304731,17,cell_type_or_line,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4304731,17,cellular_component,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4304731,17,gene_or_protein,0,0,81,81,81,0,0,0,0,1.0,0.0,0.0,0,18,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4304731,17,organism_or_species,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4304731,17,small_molecule,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4304731,17,tissue_or_organ,0,0,24,24,24,0,0,0,0,1.0,0.0,0.0,0,12,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557668,28,cell_type_or_line,0,0,36,36,36,0,0,0,0,1.0,0.0,0.0,0,32,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557668,28,cellular_component,0,0,5,5,5,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557668,28,gene_or_protein,0,0,82,82,82,0,0,0,0,1.0,0.0,0.0,0,50,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557668,28,organism_or_species,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557668,28,small_molecule,0,0,11,11,11,0,0,0,0,1.0,0.0,0.0,0,11,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4557668,28,tissue_or_organ,0,0,13,13,13,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364947,26,cell_type_or_line,0,0,22,22,22,0,0,0,0,1.0,0.0,0.0,0,20,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364947,26,cellular_component,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364947,26,gene_or_protein,0,0,45,45,45,0,0,0,0,1.0,0.0,0.0,0,26,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364947,26,organism_or_species,0,0,12,12,12,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364947,26,small_molecule,0,0,6,6,6,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364947,26,tissue_or_organ,0,0,15,15,15,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2830692,20,cell_type_or_line,0,0,16,16,16,0,0,0,0,1.0,0.0,0.0,0,16,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2830692,20,cellular_component,0,0,10,10,10,0,0,0,0,1.0,0.0,0.0,0,8,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2830692,20,gene_or_protein,0,0,121,121,121,0,0,0,0,1.0,0.0,0.0,0,41,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2830692,20,organism_or_species,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2830692,20,small_molecule,0,0,11,11,11,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331007,10,cell_type_or_line,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,strict,4331007,10,cellular_component,0,0,6,6,6,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331007,10,gene_or_protein,0,0,28,28,28,0,0,0,0,1.0,0.0,0.0,0,16,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331007,10,organism_or_species,0,0,10,10,10,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331007,10,small_molecule,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331007,10,tissue_or_organ,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,strict,3615652,24,cell_type_or_line,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3615652,24,cellular_component,0,0,24,24,24,0,0,0,0,1.0,0.0,0.0,0,16,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3615652,24,gene_or_protein,0,0,88,88,88,0,0,0,0,1.0,0.0,0.0,0,41,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,3615652,24,small_molecule,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,6,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339117,53,cell_type_or_line,0,0,39,39,39,0,0,0,0,1.0,0.0,0.0,0,38,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339117,53,cellular_component,0,0,18,18,18,0,0,0,0,1.0,0.0,0.0,0,14,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339117,53,gene_or_protein,0,0,131,131,131,0,0,0,0,1.0,0.0,0.0,0,51,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339117,53,organism_or_species,0,0,8,8,8,0,0,0,0,1.0,0.0,0.0,0,6,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339117,53,small_molecule,0,0,61,61,61,0,0,0,0,1.0,0.0,0.0,0,54,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339117,53,tissue_or_organ,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772849,33,cell_type_or_line,0,0,57,57,57,0,0,0,0,1.0,0.0,0.0,0,44,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772849,33,gene_or_protein,0,0,63,63,63,0,0,0,0,1.0,0.0,0.0,0,49,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772849,33,organism_or_species,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772849,33,small_molecule,0,0,22,22,22,0,0,0,0,1.0,0.0,0.0,0,18,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4946139,21,cell_type_or_line,0,0,10,10,10,0,0,0,0,1.0,0.0,0.0,0,10,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4946139,21,cellular_component,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4946139,21,gene_or_protein,0,0,95,95,95,0,0,0,0,1.0,0.0,0.0,0,29,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4946139,21,organism_or_species,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4946139,21,small_molecule,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3868508,39,cell_type_or_line,0,0,44,44,44,0,0,0,0,1.0,0.0,0.0,0,38,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3868508,39,cellular_component,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3868508,39,gene_or_protein,0,0,130,130,130,0,0,0,0,1.0,0.0,0.0,0,55,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3868508,39,organism_or_species,0,0,51,51,51,0,0,0,0,1.0,0.0,0.0,0,44,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3868508,39,small_molecule,0,0,35,35,35,0,0,0,0,1.0,0.0,0.0,0,28,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3868508,39,tissue_or_organ,0,0,5,5,5,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772850,34,cell_type_or_line,0,0,45,45,45,0,0,0,0,1.0,0.0,0.0,0,34,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772850,34,cellular_component,0,0,13,13,13,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772850,34,gene_or_protein,0,0,110,110,110,0,0,0,0,1.0,0.0,0.0,0,74,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772850,34,organism_or_species,0,0,10,10,10,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772850,34,small_molecule,0,0,58,58,58,0,0,0,0,1.0,0.0,0.0,0,40,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4876034,28,cell_type_or_line,0,0,25,25,25,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4876034,28,cellular_component,0,0,37,37,37,0,0,0,0,1.0,0.0,0.0,0,22,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4876034,28,gene_or_protein,0,0,74,74,74,0,0,0,0,1.0,0.0,0.0,0,40,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4876034,28,organism_or_species,0,0,52,52,52,0,0,0,0,1.0,0.0,0.0,0,30,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4876034,28,small_molecule,0,0,5,5,5,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4876034,28,tissue_or_organ,0,0,16,16,16,0,0,0,0,1.0,0.0,0.0,0,12,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3615663,23,cell_type_or_line,0,0,15,15,15,0,0,0,0,1.0,0.0,0.0,0,15,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3615663,23,cellular_component,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3615663,23,gene_or_protein,0,0,171,171,171,0,0,0,0,1.0,0.0,0.0,0,51,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3615663,23,small_molecule,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4888856,9,cell_type_or_line,0,0,12,12,12,0,0,0,0,1.0,0.0,0.0,0,12,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4888856,9,gene_or_protein,0,0,33,33,33,0,0,0,0,1.0,0.0,0.0,0,18,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4888856,9,organism_or_species,0,0,16,16,16,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4888856,9,small_molecule,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,overlap,4888856,9,tissue_or_organ,0,0,26,26,26,0,0,0,0,1.0,0.0,0.0,0,21,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4557665,25,cellular_component,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,8,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4557665,25,gene_or_protein,0,0,158,158,158,0,0,0,0,1.0,0.0,0.0,0,55,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4557665,25,organism_or_species,0,0,42,42,42,0,0,0,0,1.0,0.0,0.0,0,26,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4557665,25,small_molecule,0,0,76,76,76,0,0,0,0,1.0,0.0,0.0,0,45,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369315,27,cell_type_or_line,0,0,44,44,44,0,0,0,0,1.0,0.0,0.0,0,32,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369315,27,cellular_component,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369315,27,gene_or_protein,0,0,28,28,28,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369315,27,organism_or_species,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369315,27,small_molecule,0,0,14,14,14,0,0,0,0,1.0,0.0,0.0,0,10,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291479,20,cell_type_or_line,0,0,20,20,20,0,0,0,0,1.0,0.0,0.0,0,14,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291479,20,cellular_component,0,0,24,24,24,0,0,0,0,1.0,0.0,0.0,0,19,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291479,20,gene_or_protein,0,0,80,80,80,0,0,0,0,1.0,0.0,0.0,0,44,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291479,20,organism_or_species,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291479,20,small_molecule,0,0,8,8,8,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291479,20,tissue_or_organ,0,0,26,26,26,0,0,0,0,1.0,0.0,0.0,0,22,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,5293153,26,cell_type_or_line,0,0,68,68,68,0,0,0,0,1.0,0.0,0.0,0,41,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,5293153,26,gene_or_protein,0,0,123,123,123,0,0,0,0,1.0,0.0,0.0,0,70,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,5293153,26,small_molecule,0,0,13,13,13,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2173279,27,cell_type_or_line,0,0,29,29,29,0,0,0,0,1.0,0.0,0.0,0,27,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2173279,27,cellular_component,0,0,40,40,40,0,0,0,0,1.0,0.0,0.0,0,29,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2173279,27,gene_or_protein,0,0,141,141,141,0,0,0,0,1.0,0.0,0.0,0,60,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2173279,27,small_molecule,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,14,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2173279,27,tissue_or_organ,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4654935,13,cell_type_or_line,0,0,16,16,16,0,0,0,0,1.0,0.0,0.0,0,11,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4654935,13,cellular_component,0,0,8,8,8,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4654935,13,gene_or_protein,0,0,155,155,155,0,0,0,0,1.0,0.0,0.0,0,42,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4654935,13,organism_or_species,0,0,5,5,5,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4654935,13,small_molecule,0,0,42,42,42,0,0,0,0,1.0,0.0,0.0,0,31,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3801434,49,cell_type_or_line,0,0,42,42,42,0,0,0,0,1.0,0.0,0.0,0,37,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3801434,49,cellular_component,0,0,44,44,44,0,0,0,0,1.0,0.0,0.0,0,27,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3801434,49,gene_or_protein,0,0,219,219,219,0,0,0,0,1.0,0.0,0.0,0,93,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3801434,49,organism_or_species,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3801434,49,small_molecule,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3801434,49,tissue_or_organ,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2872903,11,cell_type_or_line,0,0,11,11,11,0,0,0,0,1.0,0.0,0.0,0,11,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2872903,11,cellular_component,0,0,15,15,15,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2872903,11,gene_or_protein,0,0,68,68,68,0,0,0,0,1.0,0.0,0.0,0,31,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2872903,11,small_molecule,0,0,15,15,15,0,0,0,0,1.0,0.0,0.0,0,12,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3003313,10,cell_type_or_line,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3003313,10,gene_or_protein,0,0,109,109,109,0,0,0,0,1.0,0.0,0.0,0,29,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3003313,10,small_molecule,0,0,8,8,8,0,0,0,0,1.0,0.0,0.0,0,6,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3003313,10,tissue_or_organ,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4693503,15,cell_type_or_line,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4693503,15,cellular_component,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4693503,15,gene_or_protein,0,0,112,112,112,0,0,0,0,1.0,0.0,0.0,0,21,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4693503,15,organism_or_species,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4693503,15,small_molecule,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2860687,41,cell_type_or_line,0,0,35,35,35,0,0,0,0,1.0,0.0,0.0,0,25,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2860687,41,cellular_component,0,0,45,45,45,0,0,0,0,1.0,0.0,0.0,0,35,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2860687,41,gene_or_protein,0,0,87,87,87,0,0,0,0,1.0,0.0,0.0,0,42,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2860687,41,organism_or_species,0,0,34,34,34,0,0,0,0,1.0,0.0,0.0,0,33,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2860687,41,small_molecule,0,0,18,18,18,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,2860687,41,tissue_or_organ,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291478,23,cellular_component,0,0,25,25,25,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291478,23,gene_or_protein,0,0,73,73,73,0,0,0,0,1.0,0.0,0.0,0,38,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4291478,23,tissue_or_organ,0,0,11,11,11,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,overlap,3088644,24,cell_type_or_line,0,0,24,24,24,0,0,0,0,1.0,0.0,0.0,0,18,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3088644,24,cellular_component,0,0,21,21,21,0,0,0,0,1.0,0.0,0.0,0,12,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3088644,24,gene_or_protein,0,0,28,28,28,0,0,0,0,1.0,0.0,0.0,0,8,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3088644,24,organism_or_species,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3088644,24,small_molecule,0,0,21,21,21,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3088644,24,tissue_or_organ,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369314,23,cell_type_or_line,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,overlap,4369314,23,cellular_component,0,0,22,22,22,0,0,0,0,1.0,0.0,0.0,0,16,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369314,23,gene_or_protein,0,0,166,166,166,0,0,0,0,1.0,0.0,0.0,0,62,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369314,23,organism_or_species,0,0,20,20,20,0,0,0,0,1.0,0.0,0.0,0,19,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4369314,23,small_molecule,0,0,28,28,28,0,0,0,0,1.0,0.0,0.0,0,20,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3395097,30,cell_type_or_line,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3395097,30,cellular_component,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,6,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3395097,30,gene_or_protein,0,0,209,209,209,0,0,0,0,1.0,0.0,0.0,0,84,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3395097,30,organism_or_species,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3395097,30,small_molecule,0,0,33,33,33,0,0,0,0,1.0,0.0,0.0,0,30,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4304729,13,cell_type_or_line,0,0,29,29,29,0,0,0,0,1.0,0.0,0.0,0,11,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4304729,13,cellular_component,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4304729,13,gene_or_protein,0,0,64,64,64,0,0,0,0,1.0,0.0,0.0,0,44,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4304729,13,small_molecule,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4557670,10,gene_or_protein,0,0,60,60,60,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,overlap,4557670,10,organism_or_species,0,0,21,21,21,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4557670,10,small_molecule,0,0,2,2,2,0,0,0,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,,,
system1,any,overlap,3827746,33,cell_type_or_line,0,0,25,25,25,0,0,0,0,1.0,0.0,0.0,0,22,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3827746,33,cellular_component,0,0,38,38,38,0,0,0,0,1.0,0.0,0.0,0,24,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3827746,33,gene_or_protein,0,0,181,181,181,0,0,0,0,1.0,0.0,0.0,0,77,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3827746,33,organism_or_species,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,7,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3827746,33,small_molecule,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,3827746,33,tissue_or_organ,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4687416,13,cell_type_or_line,0,0,31,31,31,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4687416,13,gene_or_protein,0,0,22,22,22,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4687416,13,small_molecule,0,0,49,49,49,0,0,0,0,1.0,0.0,0.0,0,24,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772851,39,cell_type_or_line,0,0,12,12,12,0,0,0,0,1.0,0.0,0.0,0,10,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772851,39,gene_or_protein,0,0,187,187,187,0,0,0,0,1.0,0.0,0.0,0,83,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,4772851,39,organism_or_species,0,0,49,49,49,0,0,0,0,1.0,0.0,0.0,0,33,0,1.0,0.0,0.0,1.0,0.0,0.0
